timestamp,ax,ay,az,gx,gy,gz,activity
45381, 1.000000, 0.798096, -0.089722, 0.837524, -42.114258, 120.971710, 23.925789,right_up
45401, 1.000000, 0.870483, -0.096313, 0.978149, -68.420410, 78.857422, 24.597176,right_up
45421, 1.000000, 0.936035, -0.116699, 0.967163, -99.609406, 20.446777, 24.414070,right_up
45441, 1.000000, 0.965576, -0.250854, 0.850464, -90.698273, -16.235352, 17.089844,right_up
45461, 1.000000, 0.927246, -0.352417, 0.704712, -34.240723, -42.358398, -0.366211,right_up
45481, 1.000000, 0.928467, -0.296509, 0.551880, 16.174316, -64.147949, -16.418457,right_up
45501, 1.000000, 0.944336, -0.224854, 0.399780, 36.376953, -76.232910, -26.611336,right_up
45521, 1.000000, 0.966064, -0.139893, 0.287476, 30.883797, -77.880859, -31.555183,right_up
45541, 1.000000, 0.996216, -0.078735, 0.223999, 0.122070, -71.960449, -31.127937,right_up
45561, 1.000000, 0.991089, -0.109253, 0.170044, -18.432617, -63.232437, -30.395515,right_up
45581, 1.000000, 0.969727, -0.115356, 0.122192, -7.873537, -57.250992, -30.944832,right_up
45601, 1.000000, 0.963257, -0.093506, 0.088013, 10.314941, -54.504410, -31.433113,right_up
45621, 1.000000, 0.968750, -0.006348, 0.109863, 5.676271, -46.936050, -27.099617,right_up
45641, 1.000000, 0.961426, -0.011475, 0.107544, -6.286623, -40.161133, -22.766121,right_up
45661, 1.000000, 0.933350, 0.016479, 0.086182, -14.831547, -37.719727, -19.104004,right_up
45681, 1.000000, 0.886230, -0.026123, 0.062988, -11.413578, -38.391113, -16.845703,right_up
45701, 1.000000, 0.889648, -0.000244, 0.046631, 7.507326, -39.916992, -15.808109,right_up
45721, 1.000000, 0.839844, 0.007324, -0.004150, 13.000492, -40.283203, -13.122562,right_up
45741, 1.000000, 0.790894, -0.038208, -0.107422, 19.958496, -42.480469, -8.056641,right_up
45761, 1.000000, 0.733154, -0.167603, -0.342773, 49.560562, -44.555679, -3.417970,right_up
45781, 1.000000, 0.942261, 0.025024, -0.566650, 169.677734, -14.038090, -13.916019,right_up
45801, 1.000000, 1.296265, 0.289307, -0.590698, 115.966827, 43.762207, -2.441406,right_up
45821, 1.000000, 1.050781, 0.126465, -0.600342, 4.211426, 158.447266, 14.465336,right_up
45841, 1.000000, 0.864746, 0.064575, -0.168091, -6.347658, 190.979065, 16.357422,right_up
45861, 1.000000, 0.753052, -0.000732, 0.467896, -4.272461, 189.941467, 16.845703,right_up
45881, 1.000000, 0.716919, 0.009033, 0.857666, -43.518066, 146.789551, 16.418457,right_up
45901, 1.000000, 0.733154, -0.063721, 1.053589, -61.889664, 101.318390, 16.540527,right_up
45921, 1.000000, 0.850586, -0.102539, 1.067017, -71.716309, 43.518066, 14.770512,right_up
45941, 1.000000, 0.911255, -0.176025, 0.962769, -45.532242, -3.906251, 8.666992,right_up
45961, 1.000000, 0.993164, -0.141113, 0.854004, -23.437508, -34.973145, 2.197266,right_up
45981, 1.000000, 1.015259, -0.139771, 0.675903, -9.399414, -53.466812, -4.272461,right_up
46001, 1.000000, 1.025635, -0.122559, 0.503174, -0.793457, -62.561050, -10.681152,right_up
46021, 1.000000, 1.003906, -0.093628, 0.360718, -4.943848, -64.880371, -17.150879,right_up
46041, 1.000000, 0.999146, -0.078979, 0.246338, -8.605957, -61.584488, -19.226074,right_up
46061, 1.000000, 0.979736, -0.067261, 0.201782, -2.868653, -57.800308, -20.019531,right_up
46081, 1.000000, 0.953979, -0.039429, 0.167847, -6.835939, -53.527847, -18.493652,right_up
